City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,cairns,-16.9167,145.7667,31.73,73,100,3.6,AU,1680069695
282,obera,-27.4871,-55.1199,21.9,84,1,2.08,AR,1680069825
283,tromso,69.6496,18.957,-5.35,86,0,1.54,NO,1680069825
284,yenagoa,4.9247,6.2642,25.68,88,97,0.65,NG,1680069825
285,constitucion,-35.3333,-72.4167,11.55,80,16,4.21,CL,1680069769
286,limbang,4.75,115.0,31.06,79,54,2.03,MY,1680069758
287,lhokseumawe,5.1801,97.1507,29.81,65,63,3.94,ID,1680069826
288,hudson bay,52.85,-102.3842,-16.28,96,56,2.73,CA,1680069826
289,umm lajj,25.0213,37.2685,24.91,37,0,5.06,SA,1680069826
290,bima,-8.4667,118.7167,28.01,84,97,1.24,ID,1680069826
291,lashio,22.9333,97.75,30.51,26,15,2.66,MM,1680069569
292,newport,51.5877,-2.9984,10.62,94,93,3.8,GB,1680069827
293,dogondoutchi,13.6393,4.0287,23.37,16,19,4.37,NE,1680069827
294,vila,42.0304,-8.1588,11.49,71,99,2.53,PT,1680069827
295,yerkoy,39.6381,34.4672,4.51,96,100,1.87,TR,1680069827
296,quatre cocos,-20.2078,57.7625,28.94,69,61,5.03,MU,1680069827
297,goba,7.0167,39.9833,14.61,71,56,1.76,ET,1680069828
298,hay river,60.8156,-115.7999,-4.12,98,100,2.6,CA,1680069717
299,neka,36.6508,53.299,18.73,63,0,2.06,IR,1680069828
300,polson,47.6936,-114.1632,1.23,83,99,2.25,US,1680069828
301,lakes entrance,-37.8811,147.981,14.53,94,100,3.3,AU,1680069658
302,ngunguru,-35.6167,174.5,15.01,54,3,6.96,NZ,1680069828
303,ziro,27.6333,93.8333,14.41,75,75,0.85,IN,1680069829
304,codrington,-38.2667,141.9667,15.89,62,85,6.94,AU,1680069732
305,vila velha,-20.3297,-40.2925,26.64,84,40,1.03,BR,1680069586
306,lasa,46.6166,10.7002,2.79,81,100,1.8,IT,1680069590
307,kaitangata,-46.2817,169.8464,9.52,64,60,3.08,NZ,1680069557
308,hualmay,-11.0964,-77.6139,24.62,75,98,2.79,PE,1680069697
309,mount pleasant,32.7941,-79.8626,17.83,98,40,4.12,US,1680069659
310,krasnoturansk,54.3186,91.5639,6.74,72,72,2.98,RU,1680069830
311,bolgatanga,10.7856,-0.8514,29.45,48,96,2.69,GH,1680069830
312,ingham,42.6,-84.3833,2.79,82,40,0.0,US,1680069830
313,obihiro,42.9172,143.2044,9.3,47,6,2.57,JP,1680069830
314,cabra,37.4725,-4.4421,11.59,50,64,2.05,ES,1680069830
315,sioux lookout,50.1001,-91.917,-11.58,93,100,3.76,CA,1680069831
316,roald,62.5833,6.1333,-0.69,74,0,4.12,NO,1680069831
317,mingaora,34.7758,72.3625,20.94,44,92,2.53,PK,1680069831
318,storslett,69.7678,21.0247,-9.0,67,40,1.03,NO,1680069716
319,constantine,36.365,6.6147,3.67,70,0,1.03,DZ,1680069595
320,fort myers beach,26.452,-81.9481,24.03,91,0,1.54,US,1680069831
321,parkes,-33.1333,148.1833,22.97,58,58,0.45,AU,1680069831
322,namatanai,-3.6667,152.4333,27.99,75,56,1.53,PG,1680069655
323,bubaque,11.2833,-15.8333,25.68,66,96,3.77,GW,1680069832
324,chernyshevskiy,63.0128,112.4714,-12.34,77,47,1.85,RU,1680069582
325,tshikapa,-6.4167,20.8,21.59,96,100,0.98,CD,1680069832
326,samarai,-10.6167,150.6667,29.23,68,2,5.51,PG,1680069722
327,praya,14.9215,-23.5087,26.3,17,0,4.12,CV,1680069832
328,port blair,11.6667,92.75,30.02,66,40,3.6,IN,1680069313
329,catia la mar,10.6038,-67.0303,25.55,75,52,4.75,VE,1680069832
330,sitangkai,4.6628,119.3928,27.56,79,97,6.36,PH,1680069833
331,richards bay,-28.783,32.0377,21.37,67,3,4.12,ZA,1680069833
332,howard springs,-12.497,131.047,34.99,59,71,2.2,AU,1680069833
333,roma,43.2128,-75.4557,0.4,90,0,0.0,US,1680069833
334,neuquen,-38.9516,-68.0591,13.28,47,21,11.28,AR,1680069833
335,karpogory,64.0019,44.4451,-5.74,88,100,3.7,RU,1680069664
336,westport,41.1415,-73.3579,5.11,69,45,0.89,US,1680069649
337,hatillo,18.4863,-66.8254,24.18,89,2,0.89,PR,1680069834
338,sauk rapids,45.5919,-94.1661,-10.68,75,0,5.66,US,1680069707
339,broome,42.2506,-75.833,1.22,79,92,0.89,US,1680069707
340,borovany,48.8986,14.6423,2.05,72,100,2.72,CZ,1680069834
341,turayf,31.6725,38.6637,16.61,31,0,4.99,SA,1680069834
342,kigoma,-4.8769,29.6267,21.16,88,100,1.81,TZ,1680069834
343,kang,-23.6752,22.7876,18.48,74,78,2.88,BW,1680069834
344,uba,-21.12,-42.9428,20.44,98,100,0.8,BR,1680069835
345,haines junction,60.7522,-137.5108,-9.37,97,66,1.18,CA,1680069673
346,limuru,-1.1,36.65,13.69,94,79,2.49,KE,1680069835
347,atar,20.5169,-13.0499,26.16,9,0,2.76,MR,1680069692
348,yaan,7.3833,8.5667,26.13,73,80,2.6,NG,1680069835
349,portland,45.5234,-122.6762,6.23,93,100,0.89,US,1680069225
350,kirakira,-10.4544,161.9205,28.3,78,83,2.12,SB,1680069836
351,coahuayana,18.7333,-103.6833,19.95,86,5,2.08,MX,1680069836
352,dauriya,49.9333,116.8667,6.42,55,76,6.88,RU,1680069836
353,port-gentil,-0.7193,8.7815,25.98,94,40,2.06,GA,1680069596
354,savinka,50.0785,47.0994,9.74,64,100,5.7,RU,1680069836
355,marawi,7.9986,124.2928,23.36,93,100,1.92,PH,1680069836
356,pedernales,18.0384,-71.744,24.13,56,0,1.72,DO,1680069596
357,san quintin,30.4833,-115.95,13.21,84,0,4.8,MX,1680069422
358,papenburg,53.0667,7.4,6.08,88,100,1.79,DE,1680069837
359,mulchen,-37.7167,-72.2333,6.99,84,7,1.65,CL,1680069837
360,nampula,-15.1165,39.2666,20.89,97,99,2.38,MZ,1680069837
361,tombouctou,20.0,-3.0,24.22,9,40,4.84,ML,1680069838
362,bhigvan,18.3167,74.7667,32.74,18,32,1.15,IN,1680069838
363,hurghada,27.2574,33.8129,21.56,55,0,9.89,EG,1680069649
364,fairbanks,64.8378,-147.7164,-11.95,97,49,1.28,US,1680069838
365,copiapo,-27.3667,-70.3333,19.9,70,0,0.48,CL,1680069838
366,rocha,-34.4833,-54.3333,15.89,99,6,2.38,UY,1680069626
